2017-02-17 13:56:40,529 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | Bundle Considered for SPI providers: org.apache.cxf.cxf-rt-frontend-simple
2017-02-17 13:56:40,529 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | No 'SPI-Provider' Manifest header. Skipping bundle: org.apache.cxf.cxf-rt-frontend-simple
2017-02-17 13:56:40,533 | INFO  | FelixStartLevel  | CXFActivator                     | 56 - org.apache.cxf.cxf-core - 3.1.5 | Adding the extensions from bundle org.apache.cxf.cxf-rt-javascript (73) [org.apache.cxf.javascript.JavascriptServerListener]
2017-02-17 13:56:40,534 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | Bundle Considered for SPI providers: org.apache.cxf.cxf-rt-javascript
2017-02-17 13:56:40,534 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | No 'SPI-Provider' Manifest header. Skipping bundle: org.apache.cxf.cxf-rt-javascript
2017-02-17 13:56:40,542 | INFO  | FelixStartLevel  | CXFActivator                     | 56 - org.apache.cxf.cxf-core - 3.1.5 | Adding the extensions from bundle org.apache.cxf.cxf-rt-management (74) [org.apache.cxf.management.InstrumentationManager]
2017-02-17 13:56:40,543 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | Bundle Considered for SPI providers: org.apache.cxf.cxf-rt-management
2017-02-17 13:56:40,544 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | No 'SPI-Provider' Manifest header. Skipping bundle: org.apache.cxf.cxf-rt-management
2017-02-17 13:56:40,555 | INFO  | FelixStartLevel  | NamespaceHandlerRegisterer       | 56 - org.apache.cxf.cxf-core - 3.1.5 | Registered blueprint namespace handler for http://cxf.apache.org/blueprint/jaxrs-client
2017-02-17 13:56:40,557 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | Bundle Considered for SPI providers: org.apache.cxf.cxf-rt-rs-client
2017-02-17 13:56:40,558 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | No 'SPI-Provider' Manifest header. Skipping bundle: org.apache.cxf.cxf-rt-rs-client
2017-02-17 13:56:40,579 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | Bundle Considered for SPI providers: org.apache.cxf.cxf-rt-rs-extension-providers
2017-02-17 13:56:40,579 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | No 'SPI-Provider' Manifest header. Skipping bundle: org.apache.cxf.cxf-rt-rs-extension-providers
2017-02-17 13:56:40,588 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | Bundle Considered for SPI providers: org.apache.cxf.cxf-rt-rs-extension-search
2017-02-17 13:56:40,588 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | No 'SPI-Provider' Manifest header. Skipping bundle: org.apache.cxf.cxf-rt-rs-extension-search
2017-02-17 13:56:40,603 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | Bundle Considered for SPI providers: org.apache.cxf.cxf-rt-rs-service-description
2017-02-17 13:56:40,603 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | No 'SPI-Provider' Manifest header. Skipping bundle: org.apache.cxf.cxf-rt-rs-service-description
2017-02-17 13:56:40,615 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | Bundle Considered for SPI providers: org.apache.cxf.cxf-rt-security
2017-02-17 13:56:40,615 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | No 'SPI-Provider' Manifest header. Skipping bundle: org.apache.cxf.cxf-rt-security
2017-02-17 13:56:40,622 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | Bundle Considered for SPI providers: org.apache.cxf.cxf-rt-security-saml
2017-02-17 13:56:40,622 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | No 'SPI-Provider' Manifest header. Skipping bundle: org.apache.cxf.cxf-rt-security-saml
2017-02-17 13:56:40,639 | INFO  | FelixStartLevel  | HttpServiceFactoryImpl           | 211 - org.ops4j.pax.web.pax-web-runtime - 4.2.6 | Binding bundle: [org.apache.cxf.cxf-rt-transports-http [81]] to http service
2017-02-17 13:56:40,688 | INFO  | FelixStartLevel  | NamespaceHandlerRegisterer       | 56 - org.apache.cxf.cxf-core - 3.1.5 | Registered blueprint namespace handler for http://cxf.apache.org/transports/http/configuration
2017-02-17 13:56:40,689 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | Bundle Considered for SPI providers: org.apache.cxf.cxf-rt-transports-http
2017-02-17 13:56:40,689 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | No 'SPI-Provider' Manifest header. Skipping bundle: org.apache.cxf.cxf-rt-transports-http
2017-02-17 13:56:40,877 | INFO  | FelixStartLevel  | CXFActivator                     | 56 - org.apache.cxf.cxf-core - 3.1.5 | Adding the extensions from bundle org.apache.cxf.cxf-rt-transports-http-jetty (82) [org.apache.cxf.transport.http_jetty.JettyDestinationFactory, org.apache.cxf.transport.http_jetty.JettyHTTPServerEngineFactory, org.apache.cxf.transport.http.ContinuationProviderFactory]
2017-02-17 13:56:40,900 | INFO  | FelixStartLevel  | NamespaceHandlerRegisterer       | 56 - org.apache.cxf.cxf-core - 3.1.5 | Registered blueprint namespace handler for http://cxf.apache.org/transports/http-jetty/configuration
2017-02-17 13:56:40,904 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | Bundle Considered for SPI providers: org.apache.cxf.cxf-rt-transports-http-jetty
2017-02-17 13:56:40,905 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | No 'SPI-Provider' Manifest header. Skipping bundle: org.apache.cxf.cxf-rt-transports-http-jetty
2017-02-17 13:56:40,912 | INFO  | pache.cxf.osgi]) | JettyServerWrapper               | 209 - org.ops4j.pax.web.pax-web-jetty - 4.2.6 | will add org.eclipse.jetty.websocket.jsr356.server.deploy.WebSocketServerContainerInitializer to ServletContainerInitializers
2017-02-17 13:56:40,927 | INFO  | FelixStartLevel  | CXFActivator                     | 56 - org.apache.cxf.cxf-core - 3.1.5 | Adding the extensions from bundle org.apache.cxf.cxf-rt-transports-jms (83) [org.apache.cxf.transport.jms.JMSTransportFactory, org.apache.cxf.transport.jms.wsdl11.JMSWSDLExtensionLoader]
2017-02-17 13:56:40,930 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | Bundle Considered for SPI providers: org.apache.cxf.cxf-rt-transports-jms
2017-02-17 13:56:40,930 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | No 'SPI-Provider' Manifest header. Skipping bundle: org.apache.cxf.cxf-rt-transports-jms
2017-02-17 13:56:40,932 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | Bundle Considered for SPI providers: org.apache.cxf.cxf-rt-transports-local
2017-02-17 13:56:40,932 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | No 'SPI-Provider' Manifest header. Skipping bundle: org.apache.cxf.cxf-rt-transports-local
2017-02-17 13:56:40,938 | INFO  | FelixStartLevel  | CXFActivator                     | 56 - org.apache.cxf.cxf-core - 3.1.5 | Adding the extensions from bundle org.apache.cxf.cxf-rt-transports-udp (85) [org.apache.cxf.transport.udp.UDPTransportFactory]
2017-02-17 13:56:40,939 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | Bundle Considered for SPI providers: org.apache.cxf.cxf-rt-transports-udp
2017-02-17 13:56:40,939 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | No 'SPI-Provider' Manifest header. Skipping bundle: org.apache.cxf.cxf-rt-transports-udp
2017-02-17 13:56:40,963 | INFO  | FelixStartLevel  | CXFActivator                     | 56 - org.apache.cxf.cxf-core - 3.1.5 | Adding the extensions from bundle org.apache.cxf.cxf-rt-ws-addr (86) [org.apache.cxf.ws.addressing.policy.AddressingAssertionBuilder, org.apache.cxf.ws.addressing.policy.UsingAddressingAssertionBuilder, org.apache.cxf.ws.addressing.policy.AddressingPolicyInterceptorProvider, org.apache.cxf.ws.addressing.impl.AddressingWSDLExtensionLoader, org.apache.cxf.ws.addressing.WSAddressingFeature$WSAddressingFeatureApplier, org.apache.cxf.ws.addressing.MAPAggregator$MAPAggregatorLoader]
2017-02-17 13:56:40,967 | INFO  | FelixStartLevel  | NamespaceHandlerRegisterer       | 56 - org.apache.cxf.cxf-core - 3.1.5 | Registered blueprint namespace handler for http://cxf.apache.org/ws/addressing
2017-02-17 13:56:40,968 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | Bundle Considered for SPI providers: org.apache.cxf.cxf-rt-ws-addr
2017-02-17 13:56:40,968 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | No 'SPI-Provider' Manifest header. Skipping bundle: org.apache.cxf.cxf-rt-ws-addr
2017-02-17 13:56:40,984 | INFO  | FelixStartLevel  | CXFActivator                     | 56 - org.apache.cxf.cxf-core - 3.1.5 | Adding the extensions from bundle org.apache.cxf.cxf-rt-ws-mex (87) [org.apache.cxf.ws.mex.MEXServerListener]
2017-02-17 13:56:40,986 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | Bundle Considered for SPI providers: org.apache.cxf.cxf-rt-ws-mex
2017-02-17 13:56:40,986 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | No 'SPI-Provider' Manifest header. Skipping bundle: org.apache.cxf.cxf-rt-ws-mex
2017-02-17 13:56:40,997 | INFO  | FelixStartLevel  | NamespaceHandlerRegisterer       | 56 - org.apache.cxf.cxf-core - 3.1.5 | Registered blueprint namespace handler for http://cxf.apache.org/policy
2017-02-17 13:56:40,999 | INFO  | FelixStartLevel  | NamespaceHandlerRegisterer       | 56 - org.apache.cxf.cxf-core - 3.1.5 | Registered blueprint namespace handler for http://www.w3.org/ns/ws-policy
